ID,Name,Glottocode,Family,Macroarea,Latitude,Longitude,Sounds,Consonants,Vowels,Clusters,Diphthongs,LongConsonants,LongVowels,Ratio (cons : vow),Phonemes
mman1238-1322,Mmani,mman1238,Atlantic-Congo,Africa,9,-13.16,36,22,14,0,0,0,0,1.571428571,b d dʒ f j k m n p s t ts tʃ v z ŋ g gbʷ ɲ ɽ ʃ ʔ a ã e ẽ i ĩ o õ u ũ ɔ ɔ̃ ɛ ɛ̃
cher1271-1323,Cherepon,cher1271,Atlantic-Congo,Africa,6.05387,-0.10955,36,26,10,0,0,0,0,2.6,b dʷ d̪ f h hʷ kp kʰ kʲ kʷ l̪ l̪ʷ m n̪ s̪ tʷ t̪ʰ w ç ŋ ŋʷ g gʲ gʷ ɲ ɲʷ e ẽ i ĩ o õ u ũ æ æ̃
fraf1238-1325,Frafra,fraf1238,Atlantic-Congo,Africa,11.0918,-0.81109,28,20,8,0,0,0,0,2.5,b d f h j kp l m n p r s t v w ŋ g gb ɲ ʔ a e i o u ɔ ɛ ɪ
sekp1241-1326,Sekpele,sekp1241,Atlantic-Congo,Africa,7.16751,0.5886,30,21,9,0,0,0,0,2.333333333,b d dʒ f j k kp l m n p s t tʃ w ŋ g gb ɲ ʃ ʔ ã e i ĩ õ ũ œ ɔ̃ ɛ
mamp1244-1327,Mampruli,mamp1244,Atlantic-Congo,Africa,10.3884,-0.74675,34,24,10,0,0,0,5,2.4,b d dʒ f h j k kp l m n p r s t tʃ v w z ŋ ŋm g gb ɲ a aː e eː i iː o oː u uː
tong1318-1328,Tonga (Zambia),tong1318,Atlantic-Congo,Africa,-17.422325,27.103495,38,33,5,0,0,0,0,6.6,dʒ f h j k l m ⁿb ⁿp n ⁿd ⁿs ⁿt ⁿz ⁿdʒ ⁿtʃ ⁿʃ p s t tʃ v w z ŋ ⁿk ⁿg g ⁿf ⁿv ɲ ʃ β a e i o u
bady1239-1329,Jaad-Badyara,bady1239,Atlantic-Congo,Africa,12.6425,-13.4759,43,25,18,0,0,0,6,1.388888889,b d dʒ f h j k l m ⁿb ⁿp n ⁿd ⁿt p r s t tʃ w ç ŋ ⁿk ɲ β a ã ãː e ẽ ẽː i ĩ ĩː o õ õː u ũ ũː ə ə̃ ə̃ː
sele1249-1330,Selee,sele1249,Atlantic-Congo,Africa,7.17462,0.42458,30,18,12,0,0,0,0,1.5,b f j k kp m n pʰ s t tʃ w ŋ ŋm ŋʷ ɖ ɱ ɲ a ã e i ĩ o u ũ ɔ ɔ̃ ɛ ɛ̃
tivv1240-1331,Tiv,tivv1240,Atlantic-Congo,Africa,6.88039,9.26287,37,31,6,0,0,0,0,5.166666667,b d dz dʒ f h j k kp l m ⁿb n ⁿd ⁿdz ⁿdʒ p s t ts tʃ v w ŋ ⁿgb ⁿg g gb ɣ ɲ ʃ a e i o u ɔ
bili1260-1332,Bilin,bili1260,Afro-Asiatic,Africa,15.7833,38.3917,38,31,7,0,0,0,0,4.428571429,b d dʒ f h j k kʷ kʼʷ kʼ l m n r s t tʼ tʃ tʃʼ w x xʷ z ħ ŋ ŋʷ g gʷ ʃ ʔ ʕ a e i o u ə ɨ
